facility_name,zip_code,trauma_level
Culpeper Regional Hospital,22701,NA
Stafford Hospital Center,22554,NA
Bedford County Memorial Hospital,24523,NA
Henrico Doctors' Hospital - Parham,23294,2
Community Memorial Health Center,23970,NA
West Creek Emergency Center,23238,NA
Retreat Hospital,23220,NA
Southside Community Hospital,23901,NA
Danville SOVAH Health,24541,NA
Martha Jefferson Hospital,22911,NA
John Randolph Medical Center,23860,NA
Rockingham Memorial Hospital,22801,NA
Northern Virginia Medical Center,22191,NA
Warren Memorial Hospital,22630,NA
Gretna Medical Center,24557,NA
Leigh Hospital,23502,NA
Princess Anne Hospital,23456,NA
Russell County Medical Center,24266,NA
Williamsburg Regional Medical Center,23188,NA
Inova Alexandria Hospital,22304,NA
Inova Fair Oaks Hospital,22033,NA
Obici Hospital,23434,NA
Inova Emergency Room - Leesburg,20176,NA
Independence Hospital,23455,NA
Inova HealthPlex Emergency Room - Ashburn,20148,NA
Mary Washington (Lee's Hill) Free Standing ED,22408,NA
Inova HealthPlex Emergency Room - Lorton,22079,NA
Inova Mount Vernon Hospital,22306,NA
Inova HealthPlex Emergency Room - Franconia/Springfield,22310,NA
Halifax Regional Hospital,24592,NA
Hanover Emergency Center,23116,NA
Southern VA Regional Medical Center,23847,NA
Franklin Memorial Hospital,24151,NA
Tazewell Community Hospital,24651,NA
Roanoke Memorial Hospital,24014,1
Careplex Hospital,23666,NA
Augusta Health,22939,NA
Pulaski - LewisGale Hospital,24301,NA
Johnston Memorial Hospital,24211,NA
Southampton Memorial Hospital,23851,NA
Bath County Community Hospital,24445,NA
Giles Community Hospital,24134,NA
Stonewall Jackson Hospital,26452,NA
Spotsylvania Regional Medical Center,22408,NA
BelleHarbour Free Standing ED,23435,NA
Shenandoah County Memorial Hospital,22664,NA
Southside Regional Medical Center,23805,3
Fauquier Hospital,20186,NA
Inova Emergency Room - Fairfax,22030,NA
New River Valley Medical Center,24073,3
St. Mary's Hospital Richmond,23226,NA
Maryview Medical Center,23707,NA
Buchanan General Hospital,24614,NA
Mary Immaculate Hospital,23602,NA
DePaul Medical Center,23505,NA
Riverside Shore Memorial Hospital,23417,NA
Mountain View Regional Medical Center,24273,NA
Memorial Regional Medical Center,23116,NA
Clinch Valley Medical Center,24641,NA
St. Francis Medical Center,23114,NA
Richmond Community Hospital,23223,NA
Wythe County Community Hospital,24382,NA
Virginia Beach General Hospital,23454,3
Inova Fairfax Hospital,22030,1
Inova Emergency Room - Reston/Herndon,20190,NA
Harbour View Health Center,23435,NA
Winchester Medical Center,22601,2
Chippenham Hospital,23225,2
Lynchburg General Hospital,24501,2
Norfolk General Hospital,23507,1
Children's Hospital of the King's Daughters,23507,1
UVA Health System,22908,1
Inova Loudoun Hospital,20176,NA
Riverside Regional Medical Center,23601,2
Johnston Willis Hospital,23235,3
Page Memorial Hospital,22835,NA
VCU Health Systems,23219,1
Bon Secours Westchester Emergency Center,23114,NA
Lonesome Pine Hospital,24219,NA
Norton Community Hospital,24273,NA
Chesapeake General Hospital,23320,NA
Montgomery - LewisGale Hospital,24060,3
Mary Washington Hospital,22401,2
Prince William Hospital,20110,NA
Reston Hospital Center,20190,2
Haymarket Medical Center ED,20169,NA
Martha Jefferson Free Standing ED,22911,NA
Swift Creek Emergency Room,23832,NA
Virginia Hospital Center (Arlington),22205,NA
Twin County Regional Hospital,24333,NA
Henrico Doctors' Hospital - Forest,23229,2
Rappahannock General Hospital,22482,NA
Stone Spring Hospital Center,20166,NA
Alleghany - LewisGale Hospital,24457,NA
Smyth County Community Hospital,24354,NA
Riverside Doctors Hospital,23185,NA
TriCities Emergency Center,23875,NA
Walter Reed Hospital (Gloucester VA),23061,NA
Cave Spring Free Standing ED,24018,NA
Dickenson Community Hospital,24228,NA
Lake Ridge Medical Campus,22192,NA
LewisGale Medical Center,24153,NA
Bon Secours Short Pump Free Standing ED,23233,NA
LEXINGTON FIRE DEPARTMENT,NA,NA
