zip_code,rural_ind
99501,Urban
99502,Urban
99503,Urban
99504,Urban
99505,Urban
99506,Urban
99507,Urban
99508,Urban
99509,Urban
99510,Urban
99511,Urban
99512,Urban
99513,Urban
99514,Urban
99515,Urban
99516,Urban
99517,Urban
99518,Urban
99519,Urban
99520,Urban
99521,Urban
99522,Urban
99523,Urban
99524,Urban
99529,Urban
99530,Urban
99540,Urban
99545,Rural
99546,Rural
99547,Rural
99548,Rural
99549,Rural
99550,Rural
99551,Rural
99552,Rural
99553,Rural
99554,Rural
99555,Rural
99556,Rural
99557,Rural
99558,Rural
99559,Rural
99561,Rural
99563,Rural
99564,Rural
99565,Rural
99566,Rural
99567,Urban
99568,Rural
99569,Rural
99571,Rural
99572,Rural
99573,Rural
99574,Rural
99575,Rural
99576,Rural
99577,Urban
99578,Rural
99579,Rural
99580,Rural
99581,Rural
99583,Rural
99584,Rural
99585,Rural
99586,Rural
99587,Urban
99588,Rural
99589,Rural
99590,Rural
99591,Rural
99599,Urban
99602,Rural
99603,Rural
99604,Rural
99605,Rural
99606,Rural
99607,Rural
99608,Rural
99609,Rural
99610,Rural
99611,Rural
99612,Rural
99613,Rural
99614,Rural
99615,Rural
99619,Rural
99620,Rural
99621,Rural
99622,Rural
99623,Rural
99624,Rural
99625,Rural
99626,Rural
99627,Rural
99628,Rural
99629,Rural
99630,Rural
99631,Rural
99632,Rural
99633,Rural
99634,Rural
99635,Rural
99636,Rural
99637,Rural
99638,Rural
99639,Rural
99640,Rural
99641,Rural
99643,Rural
99644,Rural
99645,Rural
99647,Rural
99648,Rural
99649,Rural
99650,Rural
99651,Rural
99652,Rural
99653,Rural
99654,Rural
99655,Rural
99656,Rural
99657,Rural
99658,Rural
99659,Rural
99660,Rural
99661,Rural
99662,Rural
99663,Rural
99664,Rural
99665,Rural
99666,Rural
99667,Rural
99668,Rural
99669,Rural
99670,Rural
99671,Rural
99672,Rural
99674,Rural
99675,Rural
99676,Rural
99677,Rural
99678,Rural
99679,Rural
99680,Rural
99681,Rural
99682,Rural
99683,Rural
99684,Rural
99685,Rural
99686,Rural
99687,Rural
99688,Rural
99689,Rural
99690,Rural
99691,Rural
99692,Rural
99693,Rural
99694,Rural
99695,Urban
99697,Rural
99701,Rural
99702,Rural
99703,Rural
99704,Rural
99705,Rural
99706,Rural
99707,Rural
99708,Rural
99709,Rural
99710,Rural
99711,Rural
99712,Rural
99714,Rural
99716,Rural
99720,Rural
99721,Rural
99722,Rural
99723,Rural
99724,Rural
99725,Rural
99726,Rural
99727,Rural
99729,Rural
99730,Rural
99731,Rural
99732,Rural
99733,Rural
99734,Rural
99736,Rural
99737,Rural
99738,Rural
99739,Rural
99740,Rural
99741,Rural
99742,Rural
99743,Rural
99744,Rural
99745,Rural
99746,Rural
99747,Rural
99748,Rural
99749,Rural
99750,Rural
99751,Rural
99752,Rural
99753,Rural
99754,Rural
99755,Rural
99756,Rural
99757,Rural
99758,Rural
99759,Rural
99760,Rural
99761,Rural
99762,Rural
99763,Rural
99764,Rural
99765,Rural
99766,Rural
99767,Rural
99768,Rural
99769,Rural
99770,Rural
99771,Rural
99772,Rural
99773,Rural
99774,Rural
99775,Rural
99776,Rural
99777,Rural
99778,Rural
99779,Rural
99780,Rural
99781,Rural
99782,Rural
99783,Rural
99784,Rural
99785,Rural
99786,Rural
99788,Rural
99789,Rural
99790,Rural
99791,Rural
99801,Rural
99802,Rural
99803,Rural
99811,Rural
99812,Rural
99820,Rural
99821,Rural
99824,Rural
99825,Rural
99826,Rural
99827,Rural
99829,Rural
99830,Rural
99832,Rural
99833,Rural
99835,Rural
99836,Rural
99840,Rural
99841,Rural
99850,Rural
99901,Rural
99903,Rural
99918,Rural
99919,Rural
99921,Rural
99922,Rural
99923,Rural
99925,Rural
99926,Rural
99927,Rural
99928,Rural
99929,Rural
99950,Rural
35004,Urban
35005,Urban
35006,Urban
35007,Urban
35010,Rural
35011,Rural
35013,Urban
35014,Rural
35015,Urban
35016,Rural
35019,Rural
35020,Urban
35021,Urban
35022,Urban
35023,Urban
35031,Urban
35032,Rural
35033,Rural
35034,Urban
35035,Urban
35036,Urban
35038,Rural
35040,Urban
35041,Urban
35042,Urban
35043,Urban
35044,Rural
35045,Rural
35046,Rural
35048,Urban
35049,Urban
35051,Urban
35052,Rural
35053,Rural
35054,Rural
35055,Rural
35056,Rural
35057,Rural
35058,Rural
35060,Urban
35061,Urban
35062,Urban
35063,Urban
35064,Urban
35068,Urban
35070,Rural
35071,Urban
35072,Rural
35073,Urban
35074,Urban
35077,Rural
35078,Urban
35079,Urban
35080,Urban
35082,Rural
35083,Rural
35085,Urban
35087,Rural
35089,Rural
35091,Urban
35094,Urban
35096,Rural
35097,Urban
35098,Rural
35111,Urban
35112,Urban
35114,Urban
35115,Urban
35116,Urban
35117,Urban
35118,Urban
35119,Urban
35120,Urban
35121,Rural
35123,Urban
35124,Urban
35125,Rural
35126,Urban
35127,Urban
35128,Rural
35130,Urban
35131,Urban
35133,Urban
35135,Rural
35136,Rural
35137,Urban
35139,Urban
35142,Urban
35143,Urban
35144,Urban
35146,Urban
35147,Urban
35148,Urban
35149,Rural
35150,Rural
35151,Rural
35160,Rural
35161,Rural
35171,Urban
35172,Urban
35173,Urban
35175,Rural
35176,Urban
35178,Urban
35179,Rural
35180,Urban
35181,Urban
35182,Urban
35183,Rural
35184,Urban
35185,Urban
35186,Urban
35187,Urban
35188,Urban
35201,Urban
35202,Urban
35203,Urban
35204,Urban
35205,Urban
35206,Urban
35207,Urban
35208,Urban
35209,Urban
35210,Urban
35211,Urban
35212,Urban
35213,Urban
35214,Urban
35215,Urban
35216,Urban
35217,Urban
35218,Urban
35219,Urban
35220,Urban
35221,Urban
35222,Urban
35223,Urban
35224,Urban
35225,Urban
35226,Urban
35228,Urban
35229,Urban
35230,Urban
35231,Urban
35232,Urban
35233,Urban
35234,Urban
35235,Urban
35236,Urban
35237,Urban
35238,Urban
35240,Urban
35242,Urban
35243,Urban
35244,Urban
35245,Urban
35246,Urban
35249,Urban
35253,Urban
35254,Urban
35255,Urban
35259,Urban
35260,Urban
35261,Urban
35263,Urban
35266,Urban
35270,Urban
35277,Urban
35278,Urban
35279,Urban
35280,Urban
35281,Urban
35282,Urban
35283,Urban
35285,Urban
35286,Urban
35287,Urban
35288,Urban
35289,Urban
35290,Urban
35291,Urban
35292,Urban
35293,Urban
35294,Urban
35295,Urban
35296,Urban
35297,Urban
35298,Urban
35299,Urban
35401,Urban
35402,Urban
35403,Urban
35404,Urban
35405,Urban
35406,Urban
35407,Urban
35440,Urban
35441,Rural
35442,Rural
35443,Rural
35444,Urban
35446,Urban
35447,Rural
35448,Rural
35449,Urban
35452,Urban
35453,Urban
35456,Urban
35457,Urban
35458,Urban
35459,Rural
35460,Rural
35461,Rural
35462,Rural
35463,Urban
35464,Rural
35466,Rural
35468,Urban
35469,Rural
35470,Rural
35471,Rural
35473,Urban
35474,Rural
35475,Urban
35476,Urban
35477,Rural
35478,Urban
35480,Urban
35481,Rural
35482,Urban
35485,Urban
35486,Urban
35487,Urban
35490,Urban
35491,Rural
35501,Urban
35502,Urban
35503,Rural
35504,Urban
35540,Rural
35541,Rural
35542,Rural
35543,Rural
35544,Rural
35545,Rural
35546,Rural
35548,Rural
35549,Rural
35550,Urban
35551,Rural
35552,Rural
35553,Rural
35554,Urban
35555,Rural
35559,Rural
35560,Urban
35563,Rural
35564,Rural
35565,Rural
35570,Rural
35571,Rural
35572,Rural
35573,Rural
35574,Rural
35575,Rural
35576,Rural
35577,Rural
35578,Urban
35579,Urban
35580,Urban
35581,Rural
35582,Rural
35584,Urban
35585,Rural
35586,Rural
35587,Rural
35592,Rural
35593,Rural
35594,Rural
35601,Urban
35602,Urban
35603,Urban
35609,Urban
35610,Urban
35611,Rural
35612,Rural
35613,Urban
35614,Rural
35615,Urban
35616,Urban
35617,Urban
35618,Urban
35619,Urban
35620,Rural
35621,Rural
35622,Urban
35630,Urban
35631,Urban
35632,Urban
35633,Urban
35634,Urban
35640,Urban
35643,Urban
35645,Urban
35646,Urban
35647,Rural
35648,Urban
35649,Urban
35650,Rural
35651,Urban
35652,Urban
35653,Rural
35654,Rural
35660,Urban
35661,Urban
35662,Urban
35670,Urban
35671,Rural
35672,Urban
35673,Urban
35674,Urban
35677,Urban
35699,Urban
35739,Urban
35740,Rural
35741,Urban
35742,Urban
35744,Rural
35745,Rural
35746,Rural
35747,Rural
35748,Urban
35749,Urban
35750,Urban
35751,Rural
35752,Rural
35754,Urban
35755,Rural
35756,Urban
35757,Urban
35758,Urban
35759,Urban
35760,Urban
35761,Urban
35762,Urban
35763,Urban
35764,Rural
35765,Rural
35766,Rural
35767,Urban
35768,Rural
35769,Rural
35771,Rural
35772,Rural
35773,Urban
35774,Rural
35775,Urban
35776,Rural
35801,Urban
35802,Urban
35803,Urban
35804,Urban
35805,Urban
35806,Urban
35807,Urban
35808,Urban
35809,Urban
35810,Urban
35811,Urban
35812,Urban
35813,Urban
35814,Urban
35815,Urban
35816,Urban
35824,Urban
35893,Urban
35894,Urban
35895,Urban
35896,Urban
35897,Urban
35898,Urban
35899,Urban
35901,Urban
35902,Urban
35903,Urban
35904,Urban
35905,Urban
35906,Urban
35907,Urban
35950,Rural
35951,Rural
35952,Urban
35953,Urban
35954,Urban
35956,Rural
35957,Rural
35958,Rural
35959,Rural
35960,Rural
35961,Rural
35962,Rural
35963,Rural
35964,Rural
35966,Rural
35967,Rural
35968,Rural
35971,Rural
35972,Urban
35973,Rural
35974,Rural
35975,Rural
35976,Rural
35978,Rural
35979,Rural
35980,Rural
35981,Rural
35983,Rural
35984,Rural
35986,Rural
35987,Urban
35988,Rural
35989,Rural
35990,Urban
35999,Urban
36003,Urban
36005,Rural
36006,Urban
36008,Urban
36009,Rural
36010,Rural
36013,Urban
36015,Rural
36016,Rural
36017,Rural
36020,Urban
36022,Urban
36023,Rural
36024,Urban
36025,Urban
36026,Rural
36027,Rural
36028,Rural
36029,Rural
36030,Rural
36031,Rural
36032,Rural
36033,Rural
36034,Rural
36035,Rural
36036,Urban
36037,Rural
36038,Rural
36039,Rural
36040,Rural
36041,Rural
36042,Rural
36043,Urban
36045,Rural
36046,Urban
36047,Rural
36048,Rural
36049,Rural
36051,Urban
36052,Urban
36053,Rural
36054,Urban
36057,Urban
36061,Rural
36062,Rural
36064,Urban
36065,Urban
36066,Urban
36067,Urban
36068,Urban
36069,Urban
36071,Rural
36072,Rural
36075,Rural
36078,Rural
36079,Rural
36080,Urban
36081,Rural
36082,Rural
36083,Rural
36087,Rural
36088,Rural
36089,Rural
36091,Rural
36092,Urban
36093,Urban
36100,Urban
36101,Urban
36102,Urban
36103,Urban
36104,Urban
36105,Urban
36106,Urban
36107,Urban
36108,Urban
36109,Urban
36110,Urban
36111,Urban
36112,Urban
36113,Urban
36114,Urban
36115,Urban
36116,Urban
36117,Urban
36118,Urban
36119,Urban
36120,Urban
36121,Urban
36123,Urban
36124,Urban
36125,Urban
36130,Urban
36131,Urban
36132,Urban
36133,Urban
36134,Urban
36135,Urban
36140,Urban
36141,Urban
36142,Urban
36177,Urban
36191,Urban
36201,Urban
36202,Urban
36203,Urban
36204,Urban
36205,Urban
36206,Urban
36207,Urban
36210,Urban
36250,Urban
36251,Rural
36253,Urban
36254,Urban
36255,Rural
36256,Rural
36257,Urban
36258,Rural
36260,Urban
36261,Rural
36262,Rural
36263,Rural
36264,Rural
36265,Urban
36266,Rural
36267,Rural
36268,Rural
36269,Rural
36270,Rural
36271,Urban
36272,Urban
36273,Rural
36274,Rural
36275,Rural
36276,Rural
36277,Urban
36278,Rural
36279,Urban
36280,Rural
36301,Urban
36302,Urban
36303,Urban
36304,Urban
36305,Urban
36310,Urban
36311,Rural
36312,Urban
36313,Rural
36314,Urban
36316,Urban
36317,Urban
36318,Urban
36319,Urban
36320,Urban
36321,Urban
36322,Rural
36323,Rural
36330,Rural
36331,Rural
36340,Urban
36343,Urban
36344,Urban
36345,Urban
36346,Rural
36349,Urban
36350,Rural
36351,Rural
36352,Rural
36353,Urban
36360,Rural
36361,Rural
36362,Rural
36370,Urban
36371,Rural
36373,Rural
36374,Rural
36375,Urban
36376,Urban
36401,Rural
36419,Rural
36420,Rural
36421,Rural
36425,Rural
36426,Rural
36427,Rural
36429,Rural
36431,Rural
36432,Rural
36435,Rural
36436,Rural
36439,Rural
36441,Rural
36442,Rural
36444,Rural
36445,Rural
36446,Rural
36449,Rural
36451,Rural
36453,Rural
36454,Rural
36455,Rural
36456,Rural
36457,Rural
36458,Rural
36460,Rural
36461,Rural
36462,Rural
36467,Rural
36470,Rural
36471,Rural
36473,Rural
36474,Rural
36475,Rural
36476,Rural
36477,Rural
36480,Rural
36481,Rural
36482,Rural
36483,Rural
36501,Rural
36502,Rural
36503,Rural
36504,Rural
36505,Urban
36507,Rural
36509,Urban
36511,Rural
36512,Urban
36513,Rural
36515,Rural
36518,Rural
36521,Urban
36522,Urban
36523,Urban
36524,Rural
36525,Urban
36526,Urban
36527,Urban
36528,Rural
36529,Rural
36530,Rural
36532,Urban
36533,Urban
36535,Rural
36536,Rural
36538,Rural
36539,Rural
36540,Rural
36541,Urban
36542,Rural
36543,Rural
36544,Urban
36545,Rural
36547,Rural
36548,Rural
36549,Urban
36550,Rural
36551,Urban
36553,Rural
36555,Rural
36556,Rural
36558,Rural
36559,Urban
36560,Urban
36561,Urban
36562,Rural
36564,Urban
36567,Urban
36568,Urban
36569,Rural
36570,Rural
36571,Urban
36572,Urban
36574,Urban
36575,Urban
36576,Urban
36577,Urban
36578,Urban
36579,Rural
36580,Rural
36581,Rural
36582,Urban
36583,Rural
36584,Rural
36585,Rural
36586,Rural
36587,Urban
36590,Urban
36601,Urban
36602,Urban
36603,Urban
36604,Urban
36605,Urban
36606,Urban
36607,Urban
36608,Urban
36609,Urban
36610,Urban
36611,Urban
36612,Urban
36613,Urban
36614,Urban
36615,Urban
36616,Urban
36617,Urban
36618,Urban
36619,Urban
36621,Urban
36622,Urban
36623,Urban
36624,Urban
36625,Urban
36626,Urban
36628,Urban
36630,Urban
36631,Urban
36633,Urban
36640,Urban
36641,Urban
36644,Urban
36652,Urban
36660,Urban
36663,Urban
36670,Urban
36671,Urban
36675,Urban
36685,Urban
36688,Urban
36689,Urban
36690,Urban
36691,Urban
36693,Urban
36695,Urban
36701,Rural
36702,Rural
36703,Rural
36720,Rural
36721,Rural
36722,Rural
36723,Rural
36726,Rural
36727,Rural
36728,Rural
36732,Rural
36736,Rural
36738,Rural
36740,Rural
36741,Rural
36742,Rural
36744,Rural
36745,Rural
36748,Rural
36749,Urban
36750,Rural
36751,Rural
36752,Rural
36753,Rural
36754,Rural
36756,Rural
36758,Rural
36759,Rural
36761,Rural
36762,Rural
36763,Rural
36764,Rural
36765,Rural
36766,Rural
36767,Rural
36768,Rural
36769,Rural
36773,Rural
36775,Rural
36776,Rural
36778,Rural
36779,Rural
36782,Rural
36783,Rural
36784,Rural
36785,Rural
36786,Rural
36790,Rural
36792,Urban
36793,Urban
36801,Urban
36802,Urban
36803,Urban
36804,Urban
36830,Urban
36831,Urban
36832,Urban
36849,Urban
36850,Rural
36851,Urban
36852,Urban
36853,Rural
36854,Rural
36855,Rural
36856,Urban
36858,Urban
36859,Urban
36860,Urban
36861,Rural
36862,Rural
36863,Rural
36865,Urban
36866,Rural
36867,Urban
36868,Urban
36869,Urban
36870,Urban
36871,Urban
36872,Rural
36874,Urban
36875,Urban
36877,Urban
36879,Urban
36901,Rural
36904,Rural
36906,Rural
36907,Rural
36908,Rural
36910,Rural
36912,Rural
36913,Rural
36915,Rural
36916,Rural
36919,Rural
36921,Rural
36922,Rural
36925,Rural
71601,Urban
71602,Urban
71603,Urban
71611,Urban
71612,Urban
71613,Urban
71630,Rural
71631,Rural
71635,Rural
71638,Rural
71639,Rural
71640,Rural
71642,Rural
71643,Rural
71644,Rural
71646,Rural
71647,Rural
71649,Rural
71650,Rural
71651,Rural
71652,Rural
71653,Rural
71654,Rural
71655,Rural
71656,Rural
71657,Rural
71658,Rural
71659,Urban
71660,Rural
71661,Rural
71662,Rural
71663,Rural
71665,Rural
71666,Rural
71667,Rural
71670,Rural
71671,Rural
71674,Rural
71675,Rural
71676,Rural
71677,Rural
71678,Rural
71701,Rural
71711,Rural
71720,Rural
71721,Rural
71722,Rural
71724,Rural
71725,Rural
71726,Rural
71728,Rural
71730,Rural
71731,Rural
71740,Rural
71742,Rural
71743,Rural
71744,Rural
71745,Rural
71747,Rural
71748,Rural
71749,Rural
71750,Rural
71751,Rural
71752,Rural
71753,Rural
71754,Rural
71758,Rural
71759,Rural
71762,Rural
71763,Rural
71764,Rural
71765,Rural
71766,Rural
71767,Rural
71768,Rural
71769,Rural
71770,Rural
71772,Rural
71801,Rural
71802,Rural
71820,Rural
71822,Rural
71823,Rural
71825,Rural
71826,Rural
71827,Rural
71828,Rural
71831,Rural
71832,Rural
71833,Rural
71834,Urban
71835,Rural
71836,Rural
71837,Urban
71838,Rural
71839,Urban
71840,Urban
71841,Rural
71842,Rural
71844,Rural
71845,Rural
71846,Rural
71847,Rural
71851,Rural
71852,Rural
71853,Rural
71854,Urban
71855,Rural
71857,Rural
71858,Rural
71859,Rural
71860,Rural
71861,Rural
71862,Rural
71864,Rural
71865,Rural
71866,Rural
71901,Urban
71902,Urban
71903,Urban
71909,Rural
71910,Rural
71913,Urban
71914,Urban
71920,Rural
71921,Rural
71922,Rural
71923,Rural
71929,Rural
71932,Rural
71933,Rural
71935,Rural
71937,Rural
71940,Rural
71941,Rural
71942,Rural
71943,Rural
71944,Rural
