EMS Service Name (TR7.3),Zip
640 COMMUNITY RESCUE,24565
A & B AMBULANCE SERVICE,
AAA Transport,
ABINGDON AMBULANCE SERVICE,24210
ABINGDON VOLUNTEER FIRE & RESCUE,23072
ACCOMACK CO DEPT OF PUBLIC SAFETY,23421
Air Evac EMS,
AIR METHODS INC/LifeEvac,23005
AirCare,
ALBEMARLE COUNTY DEPARTMENT OF FIRE RESCUE,22901
ALBERTA VOL. FIRE DEPARTMENT,23821
ALEXANDRIA FIRE DIVISION - EMS,22314
ALTAVISTA EMS,24517
AMBULANCE SERVICE OF BRISTOL INC,37620
AMELIA AMBULANCE SERVICE,23002
AMELIA EMERGENCY SQUAD,23002
AMERICAN LIFELINE MEDICAL TRANSPORT INC,23703
AMERICAN MEDICAL RESPONSE - NOVA,23005
AMHERST CO DEPT OF PUBLIC SAFETY,24521
AMHERST LIFE SAVING & FIRST AID CREW,24521
AMISSVILLE VOLUNTEER FIRE & RESCUE COMPANY,20106
APPALACHIA FIRE DEPT.,24216
APPALACHIA RESCUE SQUAD,24216
APPOMATTOX VOLUNTEER RESCUE SQUAD,24522
Aquia Harbour Volunteer Rescue Squad,22554
ARCOLA VOLUNTEER FIRE DEPARTMENT,20148
ARLINGTON COUNTY FIRE DEPT,22201
ASHBURN VOLUNTEER FIRE AND RESCUE DEPARTMENT,20147
ASHLAND VOLUNTEER RESCUE SQUAD,23005
AUGUSTA COUNTY FIRE & RESCUE,24482
BABCOCK & WILCOX EMERGENCY TEAM,
BACHELORS HALL VOLUNTEER FIRE DEPARTMENT,24541
BASSETT RESCUE SQUAD INC,24055
BATH COMMUNITY AMBULANCE SERVICE,24445
BATH HIGHLAND VOLUNTEER FIRE DEPARTMENT,24487
BAYWOOD SEARCH & RESCUE,24333
BEDFORD CO DEPARTMENT OF FIRE AND RESCUE,24523
BEDFORD LIFE SAVING & FIRST AID CREW INC,
BENSLEY-BERMUDA VOLUNTEER RESCUE SQUAD,23831
BIG ISLAND EMERGENCY CREW INC,24526
BIG STONE GAP RESCUE SQUAD INC,24219
BLACKSBURG RESCUE SQUAD,24060
BLAIRS VOLUNTEER FIRE & RESCUE INC,24527
BLAND COUNTY VOLUNTEER RESCUE SQUAD,24315
BLUE RIDGE VOLUNTEER FIRE COMPANY,24064
BLUE RIDGE VOLUNTEER FIRE DEPARTMENT & RESCUE SQUAD,24064
BLUE RIDGE VOLUNTEER RESCUE SQUAD,24064
BOILING SPRINGS VOLUNTEER FIRE DEPARTMENT AND RESCUE SQUAD INC,24426
BOONSBORO VOLUNTEER FIRE & RESCUE,24503
BOTETOURT COUNTY FIRE & EMS,24090
BOYCE VOLUNTEER FIRE COMPANY,22620
BOYDTON LIFE STATION INC,23917
BOYKINS VOLUNTEER FIRE DEPARTMENT & RESCUE SQUAD INC,23827
Bridgewater Volunteer Rescue Squad,22812
BROADWAY EMERGENCY SQUAD,22815
BROSVILLE COMMUNITY VOLUNTEER FIRE DEPARTMENT,24541
BRUNSWICK VOLUNTEER RESCUE SQUAD,21716
BUCKHALL VOLUNTEER FIRE & RESCUE,20111
BUCKINGHAM COUNTY VOLUNTEER RESCUE SQUAD,23936
BUENA VISTA FIREFIGHTERS,24416
BUENA VISTA RESCUE SQUAD,24416
BURKEVILLE VOLUNTEER FIRE DEPARTMENT,23922
CALLANDS VOLUNTEER FIRE AND RESCUE INC,24530
CAMPBELL COUNTY PUBLIC SAFETY,24588
CAMPBELL COUNTY RESCUE SQUAD,24588
"CARDINAL AMBULANCE SERVICE, INC.",23606
CARILION CLINIC PATIENT TRANSPORTATION,24014
CARILION LIFE-GUARD MED-TRANS CORP,
CAROLINE COUNTY DEPT OF FIRE AND RESCUE,22427
CARROLL COUNTY EMS,24343
CARROLL COUNTY FIRE & RESCUE,24343
CARTERSVILLE VOLUNTEER RESCUE SQUAD INC,23027
CASTLEWOOD FIRE AND RESCUE,24224
